GameId,Name,GenreId,Price,Rating,Year,AgeRating
22101005,[PROTOTYPE],1,53.0,4.38,,3
22101006,007: Agent Under Fire,1,46.0,4.12,,1
22101007,007: Everything or Nothing,1,52.0,5.0,,3
22101008,007: Tomorrow Never Dies,1,55.0,3.48,1999.0,2
22101009,102 Dalmatians: Puppies to the Rescue,1,39.0,3.8,2000.0,1
22101010,1942: Joint Strike,1,44.0,4.28,2008.0,1
22101011,1985,1,43.0,4.81,1985.0,3
22100995,1985: The Day After,1,49.0,5.0,1985.0,2
22100996,1994: Ten Years After,1,47.0,4.12,1983.0,1
22100997,20 Tons,1,47.0,4.79,1985.0,2
22100998,2010: The Graphic Action Game,1,42.0,4.66,1984.0,2
22100999,3 Ninjas Kick Back,1,39.0,3.93,1994.0,1
22101000,300: March to Glory,1,53.0,3.78,,2
22101001,3D Bat Attack,1,40.0,4.0,1984.0,2
22101002,3-D Brickaway,1,54.0,3.26,1984.0,2
22101003,3-D Brickaway,1,40.0,4.53,1983.0,1
22101004,3D Maze of Gold,1,37.0,3.34,1982.0,3
22100993,3D Monstruos,1,50.0,2.64,1982.0,1
22100994,3DC,1,49.0,3.75,1987.0,2
22100981,3D-Pinball,1,46.0,3.93,1989.0,2
22100982,3x3 Eyes: Juuma Houkan,1,32.0,4.43,1995.0,2
22100983,50 Cent: BotS,1,38.0,5.0,2009.0,3
22100984,9 Lives,1,50.0,4.09,1990.0,1
22100985,A Bug's Life,1,50.0,3.46,1999.0,2
22100986,A Day In the Life,1,48.0,3.34,1985.0,3
22100987,A Dinosaur's Tale,1,41.0,4.23,1994.0,2
22100988,A Nightmare on Elm Street,1,37.0,3.94,1989.0,1
22100989,A.I.M. Racing,1,36.0,4.65,2010.0,2
22100990,A.R.E.S.: Extinction Agenda,1,50.0,4.09,2011.0,1
22100991,AA: True Soldiers,1,38.0,4.47,2007.0,2
22100992,Aaargh,1,41.0,4.25,1989.0,1
22100975,Aaargh,1,41.0,3.8,1988.0,3
22100976,Aaargh!,1,38.0,4.44,1989.0,3
22100977,Aardvark,1,53.0,4.13,1986.0,2
22100978,ACE COMBAT 6,1,52.0,3.34,2007.0,1
22100979,ACE COMBAT: AH,1,36.0,4.0,2011.0,2
