GameId,ConsoleId
22101005,20
22101006,20
22101006,22
22101007,22
41000172,22
22101007,20
41000172,20
22101008,30
22101009,22
22101009,28
22101010,20
22101011,9
22100995,9
22100995,29
22100996,29
22100996,9
22100997,29
22100998,8
22100999,28
22100999,22
22101000,30
22101001,29
22101002,9
22101002,5
22101003,29
22101004,29
22100993,29
22100994,29
22100981,22
22100982,20
22100983,5
22100983,9
22100984,22
22100985,29
22100986,28
22100987,9
22100988,33
22100989,33
22100990,20
22100991,2
22100991,9
22100991,16
22100992,29
22100992,9
22100975,9
22100976,20
22100977,20
22100978,20
22100979,20
22100980,28
22100980,22
22100968,22
22100969,29
22100970,33
22100971,28
21000074,28
22100971,22
21000074,22
22100972,22
22100973,9
22100528,20
22100974,33
22100974,20
22100960,9
22100960,29
22100961,29
22100963,22
22100964,22
22100965,22
22100962,22
22100967,28
22100966,22
22100954,20
22100955,22
22100956,28
22100957,20
22100958,29
21300836,29
20900620,29
22100958,16
21300836,16
20900620,16
22100958,9
21300836,9
20900620,9
22100958,5
21300836,5
20900620,5
22100958,28
21300836,28
20900620,28
22100958,2
21300836,2
20900620,2
22100958,22
21300836,22
20900620,22
22100958,4
21300836,4
20900620,4
22100959,2
22100959,9
22100959,5
22100959,16
22100959,29
22100946,9
20900601,9
22100946,29
20900601,29
22100947,9
22100947,29
22100948,33
41200203,33
20900585,33
22100948,20
41200203,20
20900585,20
22100458,22
22100949,5
22100950,5
22100950,9
22100951,21
22100952,28
22100953,22
22100710,22
22100940,22
22100941,22
22100942,33
22100942,20
22100943,20
22100944,9
21200132,9
22100944,16
21200132,16
22100944,3
21200132,3
22100945,16
22100932,28
22100933,28
22100934,28
22100935,28
22100936,3
22100936,9
22100936,5
22100937,5
22100938,9
22100938,22
22100938,30
22100939,30
22100939,20
22100926,16
22100927,20
22100928,5
20900563,5
10600083,5
22100928,34
20900563,34
10600083,34
22100928,2
20900563,2
10600083,2
22100928,29
20900563,29
10600083,29
22100929,9
22100930,33
22100930,20
22100931,20
22100931,33
22100920,20
22100921,20
22100726,33
22100922,28
22100923,33
22100924,20
22100925,33
22100912,22
22100913,5
41200202,5
20900551,5
22100913,4
41200202,4
20900551,4
22100914,22
22100915,33
22100916,28
21200125,28
22100916,22
21200125,22
22100917,2
21200126,2
22100917,9
21200126,9
22100917,16
21200126,16
22100917,29
21200126,29
22100917,3
21200126,3
22100918,30
22100919,9
21200127,9
22100919,29
21200127,29
22100905,28
22100906,5
22100907,22
22100908,20
22100909,20
22100910,32
22100911,28
21300166,28
22100911,33
21300166,33
22100911,9
21300166,9
22100911,5
21300166,5
22100911,16
21300166,16
22100911,29
21300166,29
22100911,2
21300166,2
22100911,22
21300166,22
22100911,21
21300166,21
22100911,20
21300166,20
22100896,22
22100897,33
22100898,22
22100899,2
22100899,5
22100899,16
22100899,29
22100899,9
22100900,6
22100901,8
22100902,8
22100903,8
22100904,5
22100904,9
22100889,28
22100890,9
22100891,22
22100891,30
22100892,20
22100893,33
22100894,5
22100895,9
22100885,33
22100464,20
22100886,22
22100887,22
22100888,20
22100874,20
22100875,9
22100876,9
22100877,28
22100878,22
21200112,22
22100878,28
21200112,28
22100879,22
21200113,22
22100879,30
21200113,30
22100879,20
21200113,20
22100880,33
22100881,22
21200115,22
22100881,9
21200115,9
22100882,9
22100882,29
22100883,22
22100883,30
22100884,8
22100884,22
22100884,16
22100867,22
22100868,33
22100869,33
22100870,9
22100870,3
22100871,5
22100871,9
22100872,24
21200103,24
22100872,5
21200103,5
22100873,20
22100858,33
22100859,33
22100860,9
22100861,2
22100861,9
22100862,28
22100863,5
22100864,22
22100865,28
22100865,22
22100866,22
22100856,22
22100857,28
22100845,28
22100846,20
22100847,31
21300825,31
21300663,31
22100847,5
21300825,5
21300663,5
22100847,9
21300825,9
21300663,9
22100847,16
21300825,16
21300663,16
22100847,29
21300825,29
21300663,29
22100847,2
21300825,2
21300663,2
22100847,3
21300825,3
21300663,3
22100847,22
21300825,22
21300663,22
22100847,4
21300825,4
21300663,4
22100848,22
21300826,22
21300664,22
22100848,3
21300826,3
21300664,3
22100848,2
21300826,2
21300664,2
22100848,16
21300826,16
21300664,16
22100848,9
21300826,9
21300664,9
22100848,5
21300826,5
21300664,5
22100848,4
21300826,4
21300664,4
22100849,9
22100849,29
22100850,33
22100851,33
22100852,20
22100853,17
22100854,30
22100855,30
22100855,20
22100855,22
22100838,28
22100839,22
22100840,9
22100841,9
22100842,20
22100843,20
22100844,20
22100831,20
22100832,20
22100833,20
22100834,20
22100835,20
22100836,28
22100837,28
41200164,28
22100837,22
41200164,22
22100837,4
41200164,4
22100825,22
22100826,22
22100827,28
22100828,28
22100829,28
22100830,33
22100815,15
22100816,20
22100817,20
22100818,20
22100819,5
22100820,22
22100820,29
22100820,9
22100821,16
22100822,29
22100823,28
22100824,22
21200093,22
22100824,29
21200093,29
22100824,16
21200093,16
22100824,2
21200093,2
22100810,5
22100811,20
22100812,22
22100813,22
22100814,3
22100802,20
22100803,22
22100804,28
22100805,9
22100805,5
22100806,33
22100807,5
22100807,9
22100808,9
22100808,22
22100809,22
20900417,22
22100809,28
20900417,28
22100796,9
22100796,5
22100797,20
22100798,9
22100798,5
22100798,2
22100799,9
22100799,29
22100800,20
22100801,9
22100787,22
22100788,20
22100789,20
22100790,22
22100792,22
22100793,28
22100793,30
22100794,9
22100791,9
22100791,5
22100791,21
22100795,22
22100795,34
22100521,22
22100782,16
21200072,16
22100782,22
21200072,22
22100430,9
22100783,28
22100785,9
22100786,20
22100773,5
22100773,16
22100774,16
22100774,29
22100774,5
22100774,9
22100774,2
22100775,9
22100776,28
22100776,22
22100777,22
20700678,22
22100777,28
20700678,28
22100778,5
22100779,5
22100780,22
22100781,9
22100766,33
22100766,20
22100768,22
21001152,22
22100768,20
21001152,20
22100784,20
22100769,20
22100770,33
22100771,20
22100771,33
22100772,22
22100759,16
22100760,20
21001156,20
22100760,22
21001156,22
22100761,9
22100762,33
22100762,20
22100763,20
22100767,33
22100764,20
22100765,20
22100751,20
22100752,20
22100752,33
22100753,20
22100754,9
22100754,29
22100754,2
22100755,20
